№,Объект,router,olt,switch,controller,кол-во AP,AP-IP,UpLink,Адрес,Комментарии,zbx,owfV2,6hhz,,,,,,
41,02-ALM-B2B-Steppe-Coffee,128.127.102.210,,10.41.148.53,,1,,BS33_SW - шлейф от П119,Желтоксана 162,,+,,руиджи,,,,,,
42,02-ALM-B2B-Qaganat-Gogol-39,178.20.179.176,,10.41.148.58,,1,,BS62_SW,Гоголя 39,,+,,+,,,,,,
43,02-ALM-B2B-Lanzhou-Tastak-1,178.20.179.203,,,,2,,274 Алматы | УС49-Алматы*,"микрорайон Тастак-1, 11/3",линка нет с 24 июль,-,,,,,,,,
44,02-ALM-B2B-LANZHOU-Satpayeva90,178.20.179.201,,,,2,,02-ALM-US27-SW-001,"улица Каныша Сатпаева, 90/30",,+,,+,,,,,,
45,02-ALM-B2B-SEVENTYCOFFEE-Dostyk,178.20.179.9,,,,1,,BS35-SW-001,"Достык , 248",,+,,+,,,,,,
47,02-ALM-B2B-BankaBar-Makataeva,178.20.179.237,,,,4,,муфта от УС65-Алматы*,"макатаева , 81",,-,,+,,,,,,
48,02-ALM-B2B-Respublica-14,178.20.179.12,,,,1,,02-ALM-US120-SW-001,"пр. Достык , 132Б",,+,,руиджи,,,,,,
49,02-ALM-B2B-Mysato,128.127.102.211,,10.41.148.41,,2,,BS66_SW,"Сакена Сейфуллина, 402",отказники,-,,,,,,,,
50,02-ALM-B2B-Kosmodrom,128.127.102.223,,,,1,,BS58_SW,"Желтоксан , 117",,+,,руиджи,,,,,,
51,02-ALM-B2B-Popcorner-Ualihano,128.127.102.108,,,,2,,BS107_SW,"Уалиханова,  47",https://secure.usedesk.ru/tickets/238819658,-,,недоступен,,,,,,
52,02-ALM-B2B-TAGAEV,178.20.177.25,,,,3,,муфта от УС33-Алматы* ,"Абая, 65а",,+,,+,,,,,,
53,02-ALM-B2B-LANZHOU-ZHIBEK-ZHOLY,178.20.177.22,,,,2,,02-ALM-US65-SW-001,"проспект Жибек Жолы, 65\А",,+,,+,,,,,,
54,02-ALM-B2B-LanzhouCompanySayran,178.20.177.19,,,,1,,02-ALM-US47-SW-001,"Сайран , 2/1",,+,,+,,,,,,
55,02-ALM-B2B-IP-Arsultan,178.20.177.28,,10.41.148.76,,2,10.41.4.97/29,муфта от УС57-Алматы*,"Карасай батыра , 88Б",,+,,+,,,,,,
56,02-ALM-B2B-Epoint-Aksay,128.127.102.118,,,,1,,02-ALM-US124-SW-001,"Аксай 4, 17а",клиент поставил свое оборудование,-,,,,,,,,
57,02-ALM-B2B-Helios-Kulzhinka,178.20.179.182,,,,1,,02-ALM-US75-SW-001,"Алматы, Кульджинский тракт 14",,+,,недоступен,,,,,,
58,02-ALM-B2B-INFINITE-Kairbekova62,178.20.177.54,,,,3,,02-ALM-US62-SW-001,"Каирбекова, 62А",,+,,+,,,,,,
59,"Холдинг Фридом, л2тп",10.10.14.16,,,,,,,,,,,,,,,,,
61,02-ALM-B2B-Restaurant_Riviera_HeX,128.127.102.140,,,,2,,BS99_SW,"Жамбыла, 142",,+,,руиджи,,,,,,
62,02-ALM-B2B-INFINITE2-ToleBi72,178.20.177.121,,,,3,,02-ALM-US58-SW,ТолеБи 72,,+,,+,,,,,,
63,02-ALM-B2B-TOO-ASTEK,178.20.179.217,,,,1,,304 Алматы | УС29-Алматы*,"Манаса, 22Б",,+,,+,,,,,,
64,02-ALM-B2B-SHAS-Zhazylbekova,178.20.177.70,,,,1,,02-ALM-US18-SW-001,"Жазылбекова , 20",,+,,+,,,,,,
65,02-ALM-B2B-Otau-Resto-Group,178.20.177.31,,,,4,,02-ALM-US63-SW-001,"мкр Коктобе, 1",,+,,+,,,,,,
66,02-ALM_B2B_MyasoET,178.20.177.23,,Small-kordai77,,1,,02-ALM-US57-SW-001,"Сакена Сейфуллина, , 533",линка нет с 31 окт,-,,,,,,,,
67,02-ALM-B2B-FreedomPAY,"178.20.179.193
10.41.148.51",,,https://cloud-a1.ruijienetworks.com/,2,10.41.3.194; 10.41.3.197,BS58_SW,,,+,,руиджи,,,,,,
68,02-ALM-OWF-BAISAL,"10.41.149.90
178.20.177.146",,"10.41.148.116-heX1; 10.41.148.117-heX2; 10.41.148.118-heX3; 10.41.148.19-sw328; 10.41.148.75-heX_OSI;
10.41.149.92-SW-dom18; 10.41.149.93-SW-dom20; 10.41.149.94-SW-dom22; 10.41.149.95-SW-dom26; 10.41.149.96-SW-dom34; 10.41.149.97-SW-dom36; 10.41.149.98-SW-dom40; 10.41.149.999-SW-dom42;",http://85.116.184.131:8080,14,10.41.9.193/26,Baisal-RB5009 - 328 -10.41.148.19,Санаторная 30,,+,,,,,,,,
69,02-ALM-B2B-Burkit-Finance-Astana,178.20.177.8,,,,2,,02-ALM-US57-SW-001,"улица Айтеке би, 123/1, Офис BURKIT FINANCE",,+,,недоступен,,,,,,
70,02-ALM-OWF-Holding,10.10.14.16:9632,,,,,,atelecom/Lp38E7ndMo27Cna1E,"Проспект Назарбаева, 100/2 ",,+,,,,,,,,
71,02-ALM-B2B-China-hogo,178.20.177.203:9632,,,,1,,BS100_SW,Толе би 130А,,+,,+,,,,,,
72,02-ALM-B2B-SaniCompany,178.20.177.193,,10.41.148.151:9632,,3,10.41.5.41/29,02-ALM-US84K5-SW-001,Бухтарминская улица 2/2,,+,,+,,,,,,
73,02-ALM-B2B-Barik-Besagash,178.20.179.119:9632,,,,1,,02-ALM-US81-SW-001,"Райымбек Батыра,, 2, село Бесагаш,, БАРИК",,+,,+,,,,,,
74,02-ALM-B2B_Coi_Tolebi_174,178.20.177.209,,,,1,,02-ALM-US55-SW-001,толеби 174,,+,,+,,,,,,
75,02-ALM-B2B-HANSharipkanpva,178.20.177.223,,,,2,,02-ALM-US137-SW-001,Шарипканова 21а,,+,,+,,,,,,
76,02-ALM-B2B-Kaganat_Manasa3,10.41.148.175,,,,1,,02-ALM-US029-SW-001,"Манаса 3А,каганат",,+,,+,,,,,,
77,02-ALM-B2B-ChecilpubRozybakiyeva,"178.20.177.231
10.41.148.159",,,,1,,02-ALM-US27-SW-001,"ул. Розыбакиева (пересечение ул. Сатпаева) 77,",,+,,+,,,,,,
78,02-ALM-B2B-Qaganat-Abaya48b,178.20.177.253,,,,2,,02-ALM-US102-SW-001,Абая 48В,,+,,+/на 2тд нет линка,,,,,,
79,02-ALM-B2B-Qaganat-Abaya125A,178.20.177.254,,10.41.148.178,,1,10.41.5.209/29,Uplink_BS129_SW,Абая 125A,,+,,+,,,,,,
80,B2B_Erzhanov_Valikhanova_47,85.116.189.9 10.41.148.181,,,,1,,Uplink_from_ExtendedHex-from_B2B_Popcorner,Валиханова 47,,+,,+,,,,,,
81,"02_ALM_B2B_Kaganat_Altynsarina, 25A",85.116.189.60,,,,1,,Up-link_from_BS94,Алтынсарина 25А,,+,,+,,,,,,
82,02-ALM-B2B_Chechil_Pub_Zharokova,178.20.177.232,,,,1,,02-ALM-US23k1-SW-001,"ул.Дунаевского 18а, помещение Чечил на Жарокова",,+,,руиджи,,,,,,
83,02-ALM-OWF-Fortis,10.41.148.11,,Adicom2023@,https://10.41.155.4:8443/wsg/#m/dashboard,25,10.41.155.11 - 10.41.155.35,84.252.156.215:22322,"​Улица Ходжанова, 2/2",,-,,,,,,,,
1,02-ALM-B2B_Qaganat_Aksay 4 20b,85.116.189.59,,,,1,,02-ALM-US124-SW-001,Аксай-4 20Б,,+,,+,,,,,,
85,02-ALM-B2B-Qaganat7mkr2a,85.116.189.61,,,,1,,02-ALM-US15-SW-001,7 мкр 2А,,+,,+,,,,,,
86,02-ALM-B2B_Kaganat_Tole_bi_264A,85.116.189.84,,,,1,,02-ALM-US52-SW-001,Толе би 264а,,+,,+,,,,,,
87,02-ALM-B2B-Kaganat-Tole-bi-296a,85.116.189.85,,,,1,,02-ALM-US49-SW-001,Толе би 296а,,-,,+,,,,,,
88,02-ALM-B2B-Alimbekova-Gogolya86,85.116.189.148,,10.41.148.238,,1,10.41.6.168/29,02-ALM-US107-SW-001,ИП Уналбаева Ш.(Каганат) Гоголя 86,,+,,+,,,,,,
89,B2B_Suleimanov_Tatarskaya_25,85.116.189.80,,10.41.148.219,,,10.41.6.72/29,,,нет клиента,+,,,,,,,,
90,B2B_Kaganat_Ainabulak_82,85.116.189.83,,10.41.148.222,,1,10.41.6.80/29,02-ALM-US80-SW2,м-он Айнабулак 82,,+,,+,,,,,,
91,B2B_Zhiba_home_Aftsinao_46/2,,,10.41.148.223,,,10.41.6.88/29,,,клиент поставил свое оборудвания ,-,,,,,,,,
92,B2B_IP_KIM,128.127.102.8,,10.40.148.224,,1,10.41.6.96/29,02-ALM-US18-SW-001,,,+,,руиджи,,,,,,
93,02-ALM-OWF-Fortis-Test,,,,,,10.41.6.104/29,,,,-,,,,,,,,
94,B2G_TOO_Smart_Imperium,128.127.102.165,,10.41.144.25,,2,10.41.6.112/29,02-ALM-US41-SW-001,,,-,,+,,,,,,
95,B2B_Lombard_Utegen_batyr,85.116.189.133,,10.41.148.232,,2,10.41.6.120/29,02-ALM-US49-SW-001,ул. Утеген батыра 7в-201,,-,,+,,,,,,
96,B2B_Coffee_Original_ToleBi_185,85.116.189.143,,10.41.148.233,,3,10.41.6.128/29,02-ALM-US55-SW-001,ул.Толе би 185,,+,,+,,,,,,
97,B2B_BLACK BIOTECHNOLOGY,178.20.179.206,,,,,10.41.6.144/28,,,,-,,не доступен,,,,,,
98,Freedom_Processing_AitekeBi_163,178.20.177.245,,,,,,,,,+,,+,,,,,,
99,02-ALM-B2B-Starbucks_AlFaraBi_77/7,85.116.189.175,,10.41.148.241,,1,10.41.6.185/29,Up-Link_Essentai_Square_Switch,Аль Фараби 77/7,,+,,+,,,,,,
100,02-ALM-B2B-TongalHouse,85.116.189.146,,10.41.148.234,,1,"10.41.6.136/29
10.41.6.138",US141-SW-002,Микрорайон Хан-Тенгри 164,https://secure.usedesk.ru/tickets/264366455,+,,,,,,,,
101,02-ALM-OWF-Holding-Essentay,10.10.14.22,,,,,,,,,-,,,,,,,,
102,02-ALM-B2B_Chechil_Pub_TRC_Sputnik,10.41.6.206,,,,1,10.41.6.206,,"​ТРЦ SPUTNIK mall​Микрорайон Мамыр 1, 8а​1 этаж",отказники,-,,,,,,,,
103,02_ALM_B2B_Family_centr_zhumalieva,85.116.188.223,,10.41.149.5:9632,,1,,02-ALM-US91-SW-001,Жумалиева 18,,+,,+,,,,,,
104,B2B_Kaganat_Bogenbai_Batyra_150,85.116.189.221,,10.41.149.7:9632,,1,10.41.6.238,uplink_from_bs57,Богенбай Батыра 150,,- клиент еще не подключен,,,,,,,,
105,B2B_MAD_MURPHY_S_CATERING,85.116.189.224,,,,,,vlan2958_Uplink,Казыбек Би 65,,-,,недоступен,,,,,,
106,02_ALM_B2B_Kaganat_Rayimbeka_152,85.116.189.254,,10.41.149.11,,1,10.41.7.38,02-ALM-US73-SW-001,Райымбека 152,,+,,+,,,,,,
108,02-ALM-B2-Kaganat-Dostyk_108,85.116.189.253,,,,1,10.41.7.54,02-ALM-US120-SW-001,Достык 108,,- клиент еще не подключен,,,,,,,,
111,02-ALM-B2B_KazSmartCompany,85.116.189.174,,10.41.149.19,,1,10.41.7.66,02-ALM-US03-SW-001,Иаева 19,,+,,+,,,,,,
112,B2B_KING FITNESS,85.116.188.137,,,,3,,02-ALM-US93-SW-001,"Наурызбай ауданы, Көктерек 141",,+,,+,,,,,,
113,02-ALM-OWF-ORBITA,10.40.220.209,10.40.240.4; 10.40.240.5; 10.40.240.3; 10.40.240.6,,http://85.116.184.131:8080,71,10.41.152.1/23,"02-ALM-US92K3-SW-001
02-ALM-US92K2-SW-001 
02-ALM-US18K1-SW-001
02-ALM-US20-SW-001","микрорайоны Орбита-1, Орбита-2, Орбита-3, Орбита-4",,+,,,,,,,,
